id,emoji,era_name,era_start,era_end,sort_order
ussr,☭,Российская империя,1721,1917,1
ussr,☭,СССР,1922,1991,1
ussr,🇷🇺,Россия,1991,,1
usa,🇺🇸,США,1776,,2
china,🇨🇳,Китайская Республика,1912,1949,3
china,🇨🇳,КНР,1949,,3
uk,🇬🇧,Великобритания,1707,,4
france,🇫🇷,Франция,1792,,5
germany,🇩🇪,Германская империя,1871,1918,6
germany,🇩🇪,Веймарская республика,1918,1933,6
germany,🇩🇪,Третий рейх,1933,1945,6
germany,🇩🇪,ФРГ / ГДР,1949,1990,6
germany,🇩🇪,Германия,1990,,6
japan,🇯🇵,Япония,1868,,7
cuba,🇨🇺,Куба,1902,,8
vietnam,🇻🇳,Вьетнам,1945,,9
india,🇮🇳,Индия,1947,,10
israel,🇮🇱,Израиль,1948,,11
egypt,🇪🇬,Египет,1922,,12
