country_id,year,month,summary,detail,link_group
ussr,1961,,Полёт Гагарина,Первый человек в космосе.,
ussr,1961,3,12 апреля — полёт Гагарина на «Востоке-1»,,
ussr,1961,7,Полёт Титова — сутки на орбите,,
ussr,1962,,Карибский кризис,Ядерное противостояние с США из-за ракет на Кубе.,caribbean_crisis
ussr,1962,9,Размещение ракет обнаружено,,caribbean_crisis
ussr,1962,10,Кульминация кризиса; демонтаж ракет,,caribbean_crisis
ussr,1964,,Отставка Хрущёва,Начало эпохи Брежнева.,
ussr,1964,9,Отставка Хрущёва; Брежнев — генсек,,
ussr,1966,,Луна-9: мягкая посадка,,
ussr,1966,1,Первая мягкая посадка на Луну,,
ussr,1968,,Вторжение в Чехословакию,Подавление Пражской весны.,
ussr,1968,7,Ввод войск ОВД,,
ussr,1969,,Бой на Даманском,Пограничный конфликт с Китаем.,
ussr,1969,2,Бои на Даманском,,
ussr,1972,,Визит Никсона; ОСВ-1,Разрядка.,
ussr,1972,4,Визит Никсона; подписание ОСВ-1,,
ussr,1975,,Хельсинки; «Союз-Аполлон»,Хельсинкский акт. Совместный полёт.,
ussr,1975,6,Стыковка «Союз-Аполлон»,,
ussr,1975,7,Хельсинкский акт,,
usa,1960,,Избрание Кеннеди,,
usa,1960,10,Кеннеди избран президентом,,
usa,1961,,Залив Свиней,Провал вторжения на Кубу.,
usa,1961,3,Провал высадки,,
usa,1961,4,Речь: «На Луну до конца десятилетия»,,
usa,1962,,Карибский кризис,13 дней на грани ядерной войны.,caribbean_crisis
usa,1962,9,Обнаружение ракет на Кубе,,caribbean_crisis
usa,1962,10,Блокада; разрешение кризиса,,caribbean_crisis
usa,1963,,Убийство Кеннеди,Даллас; 22 ноября.,
usa,1963,5,«Ich bin ein Berliner»,,
usa,1963,7,Марш на Вашингтон,,
usa,1963,10,Убийство Кеннеди,,
usa,1964,,Закон о гражд. правах,Тонкинская резолюция.,
usa,1964,6,Закон о гражданских правах,,
usa,1964,7,Тонкинская резолюция,,
usa,1965,,Эскалация во Вьетнаме,,
usa,1965,2,Rolling Thunder,,
usa,1965,6,Наземные операции,,
usa,1968,,Убийства Кинга и Кеннеди,Год хаоса.,
usa,1968,0,Тетское наступление,,
usa,1968,3,Убийство Кинга,,
usa,1968,5,Убийство Р. Кеннеди,,
usa,1969,,Высадка на Луну,Apollo 11.,
usa,1969,6,20 июля — высадка на Луну,,
usa,1969,7,Вудсток,,
usa,1972,,Уотергейт; визит в Китай,,
usa,1972,1,Визит в Китай,,
usa,1972,5,Взлом штаба демократов,,
usa,1973,,Вывод из Вьетнама,,
usa,1973,0,Парижские соглашения,,
usa,1974,,Отставка Никсона,,
usa,1974,7,Отставка Никсона,,
usa,1975,,Падение Сайгона,,
usa,1975,3,Конец Вьетнамской войны,,
china,1960,,Разрыв с СССР,,
china,1964,,Ядерное испытание,,
china,1964,9,Первая атомная бомба,,
china,1966,,Культурная революция,Хунвейбины.,
china,1966,4,Начало Культурной революции,,
china,1969,,Бои на Даманском,,
china,1969,2,Столкновения на Даманском,,
china,1971,,Приём в ООН,,
china,1971,9,КНР вместо Тайваня в Совбезе,,
china,1972,,Визит Никсона,,
china,1972,1,Визит Никсона в Китай,,
china,1975,,Смерть Чан Кайши,,
china,1975,3,Смерть Чан Кайши,,
uk,1960,,«Ветер перемен»,,
uk,1960,1,Речь «Ветер перемен»,,
uk,1964,,Битломания; Вильсон,,
uk,1964,9,Вильсон — премьер,,
uk,1966,,Победа на ЧМ,,
uk,1966,6,Англия выигрывает ЧМ,,
uk,1969,,Начало Смуты,,
uk,1969,7,Ввод войск в Сев. Ирландию,,
uk,1973,,Вступление в ЕЭС,,
uk,1973,0,Вступление в ЕЭС,,
france,1960,,Ядерное испытание,,
france,1960,1,«Голубой тушканчик»,,
france,1961,,Путч генералов,,
france,1961,3,Путч в Алжире,,
france,1962,,Независимость Алжира,,
france,1962,2,Эвианские соглашения,,
france,1962,6,Независимость,,
france,1966,,Выход из военного НАТО,,
france,1966,2,Выход из военной структуры,,
france,1968,,Майские события,,
france,1968,4,Баррикады; забастовка,,
france,1968,5,Победа голлистов,,
france,1969,,Отставка де Голля,,
france,1969,3,Отставка,,
france,1970,,Смерть де Голля,,
france,1970,10,Смерть де Голля,,
germany,1961,,Берлинская стена,,
germany,1961,7,Строительство стены,,
germany,1963,,Визит Кеннеди,,
germany,1963,5,«Ich bin ein Berliner»,,
germany,1969,,Остполитик Брандта,,
germany,1969,9,Брандт — канцлер,,
germany,1970,,Варшавское коленопреклонение,,
germany,1970,11,Коленопреклонение Брандта,,
