country_id,name,start_year,start_month,end_year,end_month,color
ussr,Хрущёв,1953,0,1964,9,#E25555
ussr,Брежнев,1964,9,1982,10,#C73E3E
usa,Эйзенхауэр,1953,0,1961,0,#D4626E
usa,Кеннеди,1961,0,1963,10,#5B8AC4
usa,Джонсон,1963,10,1969,0,#5B8AC4
usa,Никсон,1969,0,1974,7,#D4626E
usa,Форд,1974,7,1977,0,#D4626E
china,Мао Цзэдун,1949,9,1976,8,#D44A4A
uk,Макмиллан,1957,0,1963,9,#4A8FBF
uk,Дуглас-Хьюм,1963,9,1964,9,#4A8FBF
uk,Вильсон,1964,9,1970,5,#C75454
uk,Хит,1970,5,1974,2,#4A8FBF
uk,Вильсон,1974,2,1976,3,#C75454
france,Де Голль,1959,0,1969,3,#3E7BB5
france,Помпиду,1969,5,1974,3,#3E7BB5
france,Жискар д'Эстен,1974,4,1981,4,#5AABCF
germany,Аденауэр,1949,8,1963,9,#555555
germany,Эрхард,1963,9,1966,10,#666666
germany,Кизингер,1966,11,1969,9,#777777
germany,Брандт,1969,9,1974,4,#C75454
germany,Шмидт,1974,4,1982,9,#C75454
japan,Икэда,1960,6,1964,10,#7B68AE
japan,Сато,1964,10,1972,6,#6A5A9E
japan,Танака,1972,6,1974,11,#8878BE
japan,Мики,1974,11,1976,11,#7B68AE
cuba,Фидель Кастро,1959,0,2008,1,#2E8B57
vietnam,Хо Ши Мин,1945,8,1969,8,#CC4444
vietnam,Тон Дык Тханг,1969,8,1980,2,#AA3333
india,Неру,1947,7,1964,4,#E89030
india,Шастри,1964,5,1966,0,#D07828
india,Индира Ганди,1966,0,1977,2,#C06820
israel,Бен-Гурион,1948,4,1963,5,#3A7CA5
israel,Эшколь,1963,5,1969,1,#4A8CB5
israel,Голда Меир,1969,2,1974,3,#D4A040
israel,Рабин,1974,5,1977,3,#5A9CC5
egypt,Насер,1956,5,1970,8,#2E7D32
egypt,Садат,1970,8,1981,9,#4CAF50
